id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,price_total_zl_cleaned,price_per_m2_zl_cleaned,area_m2_cleaned,city
3473452,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-gen-sylwestra-kaliskiego-3-pokojowe-t0h4k3,ponad miesiąc temu,12.0,Warszawa Bemowo,ul. gen. Sylwestra Kaliskiego,Mieszkanie,3,71,True,960 000,13 521zł / m²,960000.0,13521.0,71.0,Warszawa
3722192,https://adresowo.pl/o/mieszkanie-warszawa-skorosze-ul-dzieci-warszawy-3-pokojowe-m9j6s4,dzisiajnowe,14.0,Warszawa Skorosze,ul. Dzieci Warszawy,Mieszkanie,3,55,True,899 000,16 495zł / m²,899000.0,16495.0,55.0,Warszawa
3722110,https://adresowo.pl/o/mieszkanie-warszawa-ul-obroncow-tobruku-2-pokojowe-v3q5u0,dzisiajnowe,,Warszawa,ul. Obrońców Tobruku,Mieszkanie,2,47,True,899 000,19 128zł / m²,899000.0,19128.0,47.0,Warszawa
3617916,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,,7.0,Warszawa Włochy,ul. Trzcinowa,Mieszkanie,2,49,True,zapytaj o cenę,,,,49.0,Warszawa
3722104,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-pulawska-3-pokojowe-e4s6n0,dzisiajnowe,9.0,Warszawa Mokotów,ul. Puławska,Mieszkanie,3,73,True,1 250 000,17 123zł / m²,1250000.0,17123.0,73.0,Warszawa
3722046,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-bartlomieja-3-pokojowe-v2x3q3,dzisiajnowe,11.0,Warszawa Mokotów,ul. Bartłomieja,Mieszkanie,3,82,True,2 199 000,26 925zł / m²,2199000.0,26925.0,82.0,Warszawa
3722102,https://adresowo.pl/o/mieszkanie-warszawa-wawer-ul-patriotow-3-pokojowe-c5w9t8,dzisiajnowe,20.0,Warszawa Wawer,ul. Patriotów,Mieszkanie,3,57,True,990 000,17 368zł / m²,990000.0,17368.0,57.0,Warszawa
3721962,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-wolska-3-pokojowe-w2l7m4,dzisiajnowe,20.0,Warszawa Wola,ul. Wolska,Mieszkanie,3,65,True,1 949 000,29 985zł / m²,1949000.0,29985.0,65.0,Warszawa
3530390,https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-m8x4f5,,8.0,Warszawa Chrzanów,ul. Szeligowska,Mieszkanie,2,44,True,zapytaj o cenę,,,,44.0,Warszawa
3721982,https://adresowo.pl/o/mieszkanie-warszawa-wilanow-ul-franciszka-klimczaka-2-pokojowe-n1g1b8,dzisiajnowe,17.0,Warszawa Wilanów,ul. Franciszka Klimczaka,Mieszkanie,2,48,True,899 000,18 551zł / m²,899000.0,18551.0,48.0,Warszawa
3721656,https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-josepha-conrada-3-pokojowe-q6h1n4,dzisiajnowe,8.0,Warszawa Bielany,ul. Josepha Conrada,Mieszkanie,3,55,True,730 000,13 319zł / m²,730000.0,13319.0,55.0,Warszawa
