Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Bałuty,ul. Rysownicza,4,70,680000,9714,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-rysownicza-4-pokojowe-w5i1t2,https://s2.adresowa.pl/oi/6c/33/39a150_7c15_cover-4-pokojowe-mieszkanie-lodz-baluty-ul-rysownicza.jpg
Łódź Śródmieście,ul. Henryka Sienkiewicza,3,65,660000,10140,Bez pośredników,wczorajnowe,20,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza-3-pokojowe-b6e3l7,https://s2.adresowa.pl/oi/64/38/39db3c_6b72_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza.jpg
Łódź Widzew,ul. Zbiorcza,1,25,195000,7831,Bez pośredników,wczoraj,9,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-zbiorcza-1-pokoj-z6z4p8,https://s2.adresowa.pl/oi/5b/6a/39d920_a32b_cover-1-pokojowe-mieszkanie-lodz-widzew-ul-zbiorcza.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/baluty-P/,
Łódź Polesie,ul. Wioślarska,2,37,265000,7162,Bez pośredników,wczoraj,1,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wioslarska-2-pokojowe-b7b1t3,https://s2.adresowa.pl/oi/13/10/39860c_b2d9_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-wioslarska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź,ul. Milionowa,2,45,675000,15000,Oferta biura nieruchomości,wczoraj,17,https://adresowo.pl/o/mieszkanie-lodz-ul-milionowa-2-pokojowe-h4a4v8,https://s2.adresowa.pl/oi/5a/65/39d8e6_db2a_cover-2-pokojowe-mieszkanie-lodz-ul-milionowa.jpg
Łódź,ul. Sukiennicza,3,57,450000,7895,Oferta biura nieruchomości,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-ul-sukiennicza-3-pokojowe-v0x4t4,https://s2.adresowa.pl/oi/11/5a/39d5b8_91b4_cover-3-pokojowe-mieszkanie-lodz-ul-sukiennicza.jpg
Łódź Górna,Bajeczna,5,115,1300000,11268,Bez pośredników,wczoraj,17,https://adresowo.pl/o/mieszkanie-lodz-gorna-bajeczna-5-pokojowe-m0b3i0,https://s2.adresowa.pl/oi/38/5f/39d7d6_6457_cover-5-pokojowe-mieszkanie-lodz-gorna-bajeczna.jpg
Łódź Bałuty,ul. Jana Kilińskiego,2,38,320000,8495,Bez pośredników,wczoraj,20,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-jana-kilinskiego-2-pokojowe-c6k3n0,https://s2.adresowa.pl/oi/78/7a/39d69a_4002_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-jana-kilinskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Retkinia,ul. ks. Jerzego Popiełuszki,2,43,365000,8588,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-ks-jerzego-popieluszki-2-pokojowe-e9d4p2,https://s2.adresowa.pl/oi/19/77/39d682_7270_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-ks-jerzego-popieluszki.jpg
Łódź Śródmieście,ul. Krucza,2,23,164360,7124,Oferta biura nieruchomości,4 dni temu,9,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-krucza-2-pokojowe-b3j9n6,https://s2.adresowa.pl/oi/40/30/39cc10_e251_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-krucza.jpg
